fecha,oro
2022-07-28,1756.8
2022-08-28,1739.1
2022-09-28,1660.1
2022-10-28,1645.7
2022-11-28,1741.1
2022-12-28,1804.4
2023-01-28,1927.5
2023-02-28,1826.8
2023-03-28,1973.8
2023-04-28,1990.6
2023-05-28,1946.2
2023-06-28,1907.4
2023-07-28,1959.4
2023-08-28,1919.6
2023-09-28,1915.1
