fecha,t10_2
2016-05-28,0.9500000000000001
2016-06-28,0.85
2016-07-28,0.79
2016-08-28,0.7800000000000001
2016-09-28,0.81
2016-10-28,0.9800000000000001
2016-11-28,1.2399999999999998
2016-12-28,1.2899999999999998
2017-01-28,1.2700000000000002
2017-02-28,1.16
2017-03-28,1.1099999999999999
2017-04-28,1.0499999999999998
2017-05-28,0.95
2017-06-28,0.8300000000000001
2017-07-28,0.9599999999999997
2017-08-28,0.8199999999999998
2017-09-28,0.8400000000000001
2017-10-28,0.8299999999999998
2017-11-28,0.5799999999999998
2017-12-28,0.53
2018-01-28,0.5300000000000002
2018-02-28,0.6299999999999999
2018-03-28,0.52
2018-04-28,0.46999999999999975
2018-05-28,0.4500000000000002
2018-06-28,0.31000000000000005
2018-07-28,0.29000000000000004
2018-08-28,0.18000000000000016
2018-09-28,0.22999999999999998
2018-10-28,0.27
2018-11-28,0.22999999999999998
2018-12-28,0.20999999999999996
2019-01-28,0.1599999999999997
2019-02-28,0.18999999999999995
2019-03-28,0.16999999999999993
2019-04-28,0.22999999999999998
2019-05-28,0.1599999999999997
2019-06-28,0.2699999999999998
2019-07-28,0.21999999999999997
2019-08-28,-0.040000000000000036
2019-09-28,0.06000000000000005
2019-10-28,0.17000000000000015
2019-11-28,0.14000000000000012
2019-12-28,0.2899999999999998
2020-01-28,0.17000000000000015
2020-02-28,0.18999999999999995
2020-03-28,0.47
2020-04-28,0.43000000000000005
2020-05-28,0.49000000000000005
2020-06-28,0.47
2020-07-28,0.47
2020-08-28,0.58
2020-09-28,0.54
2020-10-28,0.63
2020-11-28,0.6799999999999999
2020-12-28,0.8099999999999999
2021-01-28,0.92
2021-02-28,1.2999999999999998
2021-03-28,1.5299999999999998
2021-04-28,1.46
2021-05-28,1.4700000000000002
2021-06-28,1.26
2021-07-28,1.05
2021-08-28,1.09
2021-09-28,1.17
2021-10-28,1.04
2021-11-28,0.98
2021-12-28,0.72
2022-01-28,0.6300000000000001
2022-02-28,0.41999999999999993
2022-03-28,0.18000000000000016
2022-04-28,0.23999999999999977
2022-05-28,0.27
2022-06-28,0.1200000000000001
2022-07-28,-0.18000000000000016
2022-08-28,-0.33000000000000007
2022-09-28,-0.3299999999999996
2022-10-28,-0.33999999999999986
2022-11-28,-0.7399999999999998
2022-12-28,-0.4800000000000004
2023-01-28,-0.6700000000000004
2023-02-28,-0.8600000000000003
2023-03-28,-0.41000000000000014
2023-04-28,-0.5400000000000005
2023-05-28,-0.7400000000000002
2023-06-28,-0.9700000000000002
2023-07-28,-0.9000000000000004
2023-08-28,-0.7800000000000002
2023-09-28,-0.7
