fecha,vola
1999-07-28,0.07
1999-08-28,0.08097938835556473
1999-09-28,0.08262741720817357
1999-10-28,0.08961660047013043
1999-11-28,0.11310602274147197
1999-12-28,0.053707776055373246
2000-01-28,0.07281807095987447
2000-02-28,0.0918038694565193
2000-03-28,0.15630707461019466
2000-04-28,0.15955651784381053
2000-05-28,0.08343440838216609
2000-06-28,0.09387305318836314
2000-07-28,0.05757541961746493
2000-08-28,0.06648469762968823
2000-09-28,0.07604720510872931
2000-10-28,0.11936069352652434
2000-11-28,0.08818434211621229
2000-12-28,0.10763354517690393
2001-01-28,0.0692598578399839
2001-02-28,0.13816395708549978
2001-03-28,0.17718439867183378
2001-04-28,0.1480965942911565
2001-05-28,0.08990541503089333
2001-06-28,0.08840178549163369
2001-07-28,0.06103760505280453
2001-08-28,0.06323373853330327
2001-09-28,0.25625826938343477
2001-10-28,0.17186557290288418
2001-11-28,0.09381080285874299
2001-12-28,0.053046209062359795
2002-01-28,0.05328297969447737
2002-02-28,0.06063144569790402
2002-03-28,0.09261069071752348
2002-04-28,0.0522159240826503
2002-05-28,0.05915772215125914
2002-06-28,0.11752841950861748
2002-07-28,0.26380237114437843
2002-08-28,0.24341460900046386
2002-09-28,0.16576452210556925
2002-10-28,0.17172518766180556
2002-11-28,0.07985391031844769
2002-12-28,0.0840110863737562
2003-01-28,0.07548623811002608
2003-02-28,0.10395376525448952
2003-03-28,0.13556163966841583
2003-04-28,0.09006649204110428
2003-05-28,0.05692035161602993
2003-06-28,0.09467895843441698
2003-07-28,0.05532516395913234
2003-08-28,0.05221472877898492
2003-09-28,0.057559954049630546
2003-10-28,0.06404741710085227
2003-11-28,0.04451449446146594
2003-12-28,0.06376066718386353
2004-01-28,0.05384115120038846
2004-02-28,0.032609276715550806
2004-03-28,0.06768304436020522
2004-04-28,0.05842363806965567
2004-05-28,0.06551954808978744
2004-06-28,0.05138681038202697
2004-07-28,0.05800699591136049
2004-08-28,0.04365344605217314
2004-09-28,0.035431269559488276
2004-10-28,0.04368288782270957
2004-11-28,0.09014025078197374
2004-12-28,0.03606764497485937
2005-01-28,0.042883321059752566
2005-02-28,0.04183888292158966
2005-03-28,0.051689911867887295
2005-04-28,0.04905162170488042
2005-05-28,0.05113282244401729
2005-06-28,0.02835677425882821
2005-07-28,0.044788982299015734
2005-08-28,0.02587200685089419
2005-09-28,0.03501877492569139
2005-10-28,0.05576099982879623
2005-11-28,0.08146937663840936
2005-12-28,0.021138315497962967
2006-01-28,0.039462488159648146
2006-02-28,0.03235456003063164
2006-03-28,0.03347471657652834
2006-04-28,0.029217483642269393
2006-05-28,0.0588357356063145
2006-06-28,0.058550467895250646
2006-07-28,0.04560079703398845
2006-08-28,0.051480560578661905
2006-09-28,0.030275535289145283
2006-10-28,0.050696446824415986
2006-11-28,0.03446780996046983
2006-12-28,0.03917754730264256
2007-01-28,0.022293923659337356
2007-02-28,0.031482892953929476
2007-03-28,0.06816082347248487
2007-04-28,0.05566044431826245
2007-05-28,0.03982384952569662
2007-06-28,0.035733254449008545
2007-07-28,0.04832297969249022
2007-08-28,0.12871735006566465
2007-09-28,0.07453160243294388
2007-10-28,0.05749463231347285
2007-11-28,0.09686078381509411
2007-12-28,0.08354313348979447
2008-01-28,0.18015038778000858
2008-02-28,0.09918507145387978
2008-03-28,0.10450444716701934
2008-04-28,0.07773196831426321
2008-05-28,0.050434325974225036
2008-06-28,0.0698842110068012
2008-07-28,0.11261704041851317
2008-08-28,0.0638220306715167
2008-09-28,0.149572121746802
2008-10-28,0.4540962133841393
2008-11-28,0.3596259210277726
2008-12-28,0.23998002752962133
2009-01-28,0.1735049111028224
2009-02-28,0.18251006910300793
2009-03-28,0.234826557086939
2009-04-28,0.13378047675156357
2009-05-28,0.11337602489676213
2009-06-28,0.08482517641186216
2009-07-28,0.12665071550177132
2009-08-28,0.07796322133288558
2009-09-28,0.08889381735334734
2009-10-28,0.07981763811951548
2009-11-28,0.08190367017039368
2009-12-28,0.03491612379352982
2010-01-28,0.05528444843970726
2010-02-28,0.0679655337482048
2010-03-28,0.08167437063774141
2010-04-28,0.04804215311499127
2010-05-28,0.1542759731035135
2010-06-28,0.08690597436537995
2010-07-28,0.0918182627533608
2010-08-28,0.06140557002002045
2010-09-28,0.10473213426950068
2010-10-28,0.05935214955601675
2010-11-28,0.0472646581889562
2010-12-28,0.07306329027640501
2011-01-28,0.03562182376066736
2011-02-28,0.05408987530389786
