FECHA,sp50
2020-09-28,2878.1453
2020-10-28,2783.5
2020-11-28,3045.0266
2020-12-28,3058.1357
2021-01-28,3124.2566
2021-02-28,3139.85
2021-03-28,3369.1108
2021-04-28,3460.1763
2021-05-28,3451.225
2021-06-28,3597.5432
2021-07-28,3729.5142
2021-08-28,3826.0393
2021-09-28,3728.6416
2021-10-28,3936.4705
2021-11-28,4060.4658
2021-12-28,4237.0205
2022-01-28,3969.2356
2022-02-28,3894.1772
2022-03-28,4171.129
2022-04-28,4076.9268
2022-05-28,3882.5771
2022-06-28,3634.5522
2022-07-28,4010.0732
2022-08-28,4050.9758
2022-09-28,3861.7307
2022-10-28,3920.86
2022-11-28,3812.397
2022-12-28,3562.8572
2023-01-28,3754.956
2023-02-28,3743.6587
2023-03-28,3665.7314
2023-04-28,3776.703
2023-05-28,3928.308
2023-06-28,4015.2834
2023-07-28,4152.263
2023-08-28,4102.827
2023-09-28,4172.24
