fecha,perSp500
2021-08-28,21.318634
2021-09-28,21.001211
2021-10-28,21.18137
2021-11-28,21.554626
2021-12-28,21.438162
2022-01-28,19.72529
2022-02-28,18.670198
2022-03-28,19.41684
2022-04-28,18.243456
2022-05-28,16.865204
2022-06-28,15.982332
2022-07-28,16.772434
2022-08-28,17.617815
2022-09-28,15.707002
2022-10-28,16.148155
2022-11-28,17.605844
2022-12-28,16.818876
2023-01-28,17.723333
2023-02-28,17.85705
2023-03-28,17.46163
2023-04-28,18.285242
2023-05-28,18.099709
2023-06-28,18.790611
2023-07-28,19.592186
2023-08-28,18.795052
2023-09-28,18.055105
